Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0QWGQc1NVsgjm6T25Bcxxw,5e2e370d6037470db1db3be5bb89fcbe,2023-10-23T00:25:54Z,3,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:1SveOKrBFiyneSj3Pd5Sup,5e2e370d6037470db1db3be5bb89fcbe,2023-10-23T00:25:54Z,4,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:2obblQ6tcePeOEVJV6nEGD,5e2e370d6037470db1db3be5bb89fcbe,2023-10-23T00:25:54Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:5kvN4owDQEvBnIJfpe9pqh,5e2e370d6037470db1db3be5bb89fcbe,2023-10-23T00:25:54Z,0,"There’s no substitute for the original, which is maybe one of the best songs ever.  I also feel like this song might win but I was disappointed it wasn’t chef.",0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:7FS541dJh3iQAEXEZoDhE6,5e2e370d6037470db1db3be5bb89fcbe,2023-10-23T00:25:54Z,2,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:0QWGQc1NVsgjm6T25Bcxxw,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,0,This has Randall written all over it. ,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:17z65LFVRqSVJCMyjfrBm9,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,4,I'm leaning Erik here. It's a great song I'd never heard before so it's my overall winner.,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:1SveOKrBFiyneSj3Pd5Sup,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,0,Neil I think,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:2obblQ6tcePeOEVJV6nEGD,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,0,Ryan maybe?,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:5kvN4owDQEvBnIJfpe9pqh,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,1,100% Neil. This song cracked me up so I have to give it some love.,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:67LAVIaZEZNuZYFkfiOGrA,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,1,Definitely Brock,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6v4pemwpkW7msCbBtSJf15,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,0,Ryan?,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6VdGDiy7V3j9LqfC5E1Uvi,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,2,Erik and also another song I'd not heard before.,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:7FS541dJh3iQAEXEZoDhE6,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,1,Randall. He knows I can't not give Sam at least a point.,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:7oGwKNBX90dXL53ZbhPxJk,8b2aef69bc584c05921d0ae5565d6ffa,2023-10-23T12:34:14Z,1,Brock I think. Also one of my favorites from Heilung. ,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:17z65LFVRqSVJCMyjfrBm9,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,3,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:1SveOKrBFiyneSj3Pd5Sup,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:5kvN4owDQEvBnIJfpe9pqh,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,2,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:67LAVIaZEZNuZYFkfiOGrA,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6kNvHJEqqWQoElVaokKOaE,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6v4pemwpkW7msCbBtSJf15,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6VdGDiy7V3j9LqfC5E1Uvi,e93989f4c07043b8a87a75597804de62,2023-10-23T13:46:23Z,1,,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:1SveOKrBFiyneSj3Pd5Sup,fe439333346c474e979620a8518494e9,2023-10-23T14:03:42Z,2,"Great cover, love it ",0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:5kvN4owDQEvBnIJfpe9pqh,fe439333346c474e979620a8518494e9,2023-10-23T14:03:42Z,3,"Fucking perfect, I laughed real hard on a Monday morning ",0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:6v4pemwpkW7msCbBtSJf15,fe439333346c474e979620a8518494e9,2023-10-23T14:03:42Z,2,"Super cool 90s feel, can feel some sort of nostalgia here",0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:7oGwKNBX90dXL53ZbhPxJk,fe439333346c474e979620a8518494e9,2023-10-23T14:03:42Z,3,Definitely understood the assignment ,0a719aa48b3d4a36a301e0cd557c4b22
spotify:track:0QWGQc1NVsgjm6T25Bcxxw,1422560e770a4897ab67503868575a46,2023-10-23T14:15:15Z,1,I lol’d,0a719aa48b3d4a36a301e0cd557c4b22
